course,normalizedDifficulty
AS AM   163,6.277546571411688
AS AM   163A,6.546537844063446
AS AM   164,5.939163986689589
AS AM   165,5.498534308488752
AS AM   170W,9.342478015003618
AS AM   171AA,5.126261798787397
AS AM   171BB,3.4813669038925084
AS AM   171HH,6.939252208552005
AS AM   175,4.51384044886605
AS AM   195H,2.884144681670284
AS AM   197,4.381439053964656
AS AM   199,3.278192300717902
AS AM   199RA,2.571644681670284
AS AM   200,2.925811348336953
AS AM   500,10.0
AS AM   596,2.342478015003617
AS AMW    1,4.766287538813138
ASTRO     1,8.366572297955944
ASTRO     1H,5.106383768692652
ASTRO     2,8.492686432087616
ASTROW    1,4.563789490413452
BIOE    101,10.0
BIOE    210,3.933387105912709
BIOE    211,3.842478015003616
BIOE    212,4.342478015003616
BIOE    220A,3.06975074227634
BIOE    225,10.0
BIOE    230,10.0
BIOL CS   5,10.0
BIOL CS  10,10.0
BIOL CS  12,10.0
BIOL CS  20,10.0
BIOL CS  25,10.0
BIOL CS  30,10.0
BIOL CS 101,10.0
BIOL CS 105,10.0
BIOL CS 199,10.0
BL ST     1,8.157985278220476
BL ST     1H,5.448192300717903
BL ST     2,6.314525590540484
BL ST     3,5.694556504881486
BL ST     4,5.4409895508941535
BL ST     4H,4.342478015003616
BL ST     5,6.245123411789082
BL ST     6,6.537666955503732
BL ST     6H,2.342478015003617
BL ST     7,6.159436948706262
BL ST    14,5.207837347933218
BL ST    15,4.109025213069504
BL ST    33,5.460134420488657
BL ST    38A,6.446515692256054
BL ST    38B,7.206179990560546
BL ST    45,5.052110159697121
BL ST    49A,5.95185944228102
BL ST    49B,6.134657504523531
BL ST    49C,6.582121739699972
BL ST    50,6.70906950489961
BL ST    99,2.342478015003617
BL ST   100,6.333410003931886
BL ST   101C,4.462478015003617
BL ST   102,6.761099399961108
BL ST   103,7.44934867262585
BL ST   104,7.052422652147458
BL ST   106,8.118137256050069
BL ST   108,7.694522428415633
BL ST   117,6.1358639429958295
BL ST   118,6.311345581534086
BL ST   122,5.203097542563949
BL ST   124,5.7615382895928455
BL ST   125,5.8907381247122
BL ST   126,5.280794930278304
BL ST   127,5.332175933148349
BL ST   128,5.859198676907205
BL ST   129,5.288286874545003
BL ST   130A,7.251846777573542
BL ST   130B,6.928574115587371
BL ST   131,5.934104766603069
BL ST   133,8.66387588851406
BL ST   136,7.29069503974842
BL ST   137E,5.9080909831001325
BL ST   138,5.92273310910422
BL ST   142,6.298413146419302
BL ST   143,6.369978015003617
BL ST   145,9.398033570559171
BL ST   146,7.738906586432187
BL ST   147PL,6.909144681670282
BL ST   151,5.513259325495293
BL ST   152,5.107714325060899
BL ST   153,5.311256262612604
BL ST   154,5.005949464189351
BL ST   155,3.942594413611396
BL ST   160,6.5830043307930906
BL ST   161,5.048130875481927
BL ST   162,5.200711541788463
BL ST   165,4.797992476032784
BL ST   169AR,8.895362630388233
BL ST   169BR,7.373650060688623
BL ST   169CR,7.158973400673428
BL ST   170,6.0432557208118105
BL ST   171,4.870530695621078
BL ST   172,5.958368682082046
BL ST   174,5.918739065852977
BL ST   175,5.083435798254186
BL ST   179,5.776070158154584
BL ST   180,3.730255257387891
BL ST   190,6.167050239304944
BL ST   190A,7.209144681670282
BL ST   190AH,3.175811348336949
BL ST   190B,3.9198589673845694
BL ST   190BH,2.8424780150036173
BL ST   190C,4.41985896738457
BL ST   190CH,3.759144681670283
BL ST   191DS,2.718866903892505
BL ST   191IB,2.980409049486376
BL ST   191SK,8.509144681670284
BL ST   191TG,6.231366903892505
BL ST   191ZJ,5.925811348336951
BL ST   193AA,5.342478015003618
BL ST   193AD,2.342478015003617
BL ST   193C,6.067478015003617
BL ST   193CC,5.490314553465155
BL ST   193CJ,3.919401091926697
BL ST   193CM,4.374224046749649
BL ST   193CW,2.4001703226959243
BL ST   193DC,3.056763729289331
BL ST   193GG,3.620548190442213
BL ST   193GL,5.978841651367253
BL ST   193GS,4.380260039742164
BL ST   193IB,4.342478015003616
BL ST   193K,7.890097062622664
BL ST   193L,6.258444401558238
BL ST   193PL,4.731366903892506
BL ST   193PR,7.342478015003617
BL ST   193RS,3.061228015003616
BL ST   193ST,3.7710494435750457
BL ST   193TK,5.416491172898353
BL ST   193W,3.3951095939509863
BL ST   194A,10.0
BL ST   194B,10.0
BL ST   194C,10.0
BL ST   195A,2.509144681670284
BL ST   195B,2.509144681670284
BL ST   195C,2.509144681670284
BL ST   197,2.342478015003617
BL ST   199,3.0567637292893317
BL ST   206,2.8918151362157376
BL ST   208,3.0315562978319
BL ST   210,2.8424780150036173
BL ST   212,2.8424780150036173
BL ST   254,2.342478015003617
BL ST   501,10.0
BL ST   596,2.342478015003617
BL ST   598,2.342478015003617
BL ST   599,10.0
BMSE    199,2.342478015003617
BMSE    201A,3.851950991522048
BMSE    201B,3.6456030150036174
BMSE    201C,2.742478015003617
BMSE    202,2.5299780150036173
BMSE    203,3.842478015003616
BMSE    204,5.842478015003618
BMSE    205A,5.854238088263688
BMSE    205B,3.3484303959559987
BMSE    207,2.417478015003617
BMSE    210,2.342478015003617
BMSE    215,4.035765052040654
BMSE    217,2.592478015003617
BMSE    219,2.342478015003617
BMSE    220A,4.509144681670282
BMSE    220B,3.975811348336951
BMSE    220C,3.4091446816702837
BMSE    222A,10.0
BMSE    223,8.842478015003616
BMSE    224,2.342478015003617
BMSE    229,5.4947662030060895
BMSE    230,5.231406586432188
BMSE    235,2.763906586432188
BMSE    244,2.7674780150036176
BMSE    247,2.342478015003617
BMSE    250,2.342478015003617
BMSE    251,3.373728015003617
BMSE    252,2.342478015003617
BMSE    258,2.6924780150036174
BMSE    262,10.0
BMSE    265,10.0
BMSE    272,3.249620872146475
BMSE    276A,2.342478015003617
BMSE    276B,2.342478015003617
BMSE    290C,3.675811348336948
BMSE    290CE,10.0
BMSE    290D,3.675811348336948
BMSE    294B,10.0
BMSE    592,10.0
BMSE    595,10.0
BMSE    596,2.898033570559172
C LIT    27,6.984302787975818
C LIT    28,4.476290275540016
C LIT    29,5.929662888953195
C LIT    30A,5.727005876635152
C LIT    30B,5.356107837125704
C LIT    30C,5.164337786768446
C LIT    30H,2.897140713416315
C LIT    31,6.1291162170124185
C LIT    32,5.77007974016069
C LIT    33,5.269281203775855
C LIT    34,5.498771996920409
C LIT    35,5.141962269999947
C LIT    36,5.622876692376802
C LIT    43A,5.198331416623609
C LIT    50,5.298057203485291
C LIT    50B,4.724149679171535
C LIT    50C,4.250516263920395
C LIT    82,5.177795475321078
C LIT   100,5.6490680511625495
C LIT   101,5.444694039719641
C LIT   102A,3.5131129356385387
C LIT   103,5.943916507067108
C LIT   107,5.902845670731155
C LIT   109,4.807597062622664
C LIT   111,7.404978015003618
C LIT   113,4.833638076893827
C LIT   114,4.496324168849772
C LIT   115,4.60734696661652
C LIT   119,6.895197622080422
C LIT   121,6.285599708125309
C LIT   122A,5.475579866855469
